Year;Week;Time;Mortality;Influenza;Temperature deficit 
1998;28;1998,519231;1645;0;0,0
1998;29;1998,538462;1648;0;0,0
1998;30;1998,557692;1736;0;0,0
1998;31;1998,576923;1618;0;0,0
1998;32;1998,596154;1612;0;0,0
1998;33;1998,615385;1662;0;0,0
1998;34;1998,634615;1660;0;0,0
1998;35;1998,653846;1624;0;0,0
1998;36;1998,673077;1697;0;0,0
1998;37;1998,692308;1684;0;0,0
1998;38;1998,711538;1657;0;0,0
1998;39;1998,730769;1570;0;0,0
1998;40;1998,75;1614;0;0,0
1998;41;1998,769231;1711;0;0,0
1998;42;1998,788462;1715;0;0,0
1998;43;1998,807692;1693;0;0,0
1998;44;1998,826923;1770;0;0,0
1998;45;1998,846154;1782;2;0,0
1998;46;1998,865385;1806;2;0,0
1998;47;1998,884615;1871;3;0,6
1998;48;1998,903846;1908;3;0,0
1998;49;1998,923077;1850;10;0,2
1998;50;1998,942308;1938;29;1,6
1998;51;1998,961538;1957;27;0,0
1998;52;1998,980769;1969;22;0,1
1999;1;1999;2091;31;0,1
1999;2;1999,019231;1953;46;1,2
1999;3;1999,038462;1998;76;0,0
1999;4;1999,057692;1928;126;4,3
1999;5;1999,076923;1835;213;0,1
1999;6;1999,096154;1973;284;3,1
1999;7;1999,115385;2089;239;0,0
1999;8;1999,134615;2097;124;0,0
1999;9;1999,153846;2186;102;0,0
1999;10;1999,173077;2264;98;0,1
1999;11;1999,192308;2121;61;0,0
1999;12;1999,211538;2003;13;0,0
1999;13;1999,230769;2005;20;0,0
1999;14;1999,25;1792;5;0,0
1999;15;1999,269231;1772;6;0,0
1999;16;1999,288462;1700;0;0,0
1999;17;1999,307692;1722;0;0,0
1999;18;1999,326923;1771;0;0,0
1999;19;1999,346154;1762;0;0,0
1999;20;1999,365385;1737;0;0,0
1999;21;1999,384615;1693;0;0,0
1999;22;1999,403846;1606;0;0,0
1999;23;1999,423077;1626;0;0,0
1999;24;1999,442308;1503;0;0,0
1999;25;1999,461538;1592;0;0,0
1999;26;1999,480769;1634;0;0,0
1999;27;1999,5;1714;0;0,0
1999;28;1999,519231;1616;0;0,0
1999;29;1999,538462;1777;0;0,0
1999;30;1999,557692;1608;0;0,0
1999;31;1999,576923;1615;0;0,0
1999;32;1999,596154;1795;0;0,0
1999;33;1999,615385;1620;0;0,0
1999;34;1999,634615;1695;0;0,0
1999;35;1999,653846;1711;0;0,0
1999;36;1999,673077;1625;0;0,0
1999;37;1999,692308;1753;0;0,0
1999;38;1999,711538;1603;0;0,0
1999;39;1999,730769;1675;0;0,0
1999;40;1999,75;1703;0;0,0
1999;41;1999,769231;1652;0;0,0
1999;42;1999,788462;1704;2;0,0
1999;43;1999,807692;1798;4;0,0
1999;44;1999,826923;1670;3;0,0
1999;45;1999,846154;1794;3;0,0
1999;46;1999,865385;1728;2;0,0
1999;47;1999,884615;1728;7;0,0
1999;48;1999,903846;1812;11;0,0
1999;49;1999,923077;1854;43;0,6
